SK_ID_CURR,TARGET,kmeans_cluster,hdbscan_cluster,gaussian_mixture_cluster
113230,0,0,6,0
453131,1,0,6,2
110021,0,0,6,2
347484,0,0,6,0
253018,0,0,6,0
155360,0,0,6,0
147355,1,0,6,0
450951,0,0,6,1
233215,0,0,6,0
295545,0,1,7,2
413814,0,1,-1,3
299627,0,1,-1,3
376371,0,0,6,2
105898,0,1,6,2
439702,0,1,-1,3
253563,0,0,6,1
375814,0,0,6,1
201649,0,0,6,1
114855,0,1,6,2
191425,0,0,-1,4
438966,1,0,6,1
300739,0,0,6,0
381306,0,0,6,2
171900,1,0,6,1
270583,0,0,-1,4
117763,0,0,-1,2
421939,0,0,6,1
279022,0,0,6,2
145315,0,1,-1,3
268667,0,0,6,1
131832,0,0,6,1
200598,0,0,6,1
128967,0,0,-1,1
278182,0,0,6,1
230843,0,1,6,2
250856,0,0,6,1
157860,0,1,-1,3
451118,0,0,6,2
238144,0,1,-1,2
145576,0,0,6,1
261948,0,0,6,1
232933,0,1,-1,3
146833,0,0,-1,4
401551,0,0,6,0
262301,0,0,6,1
144242,0,1,-1,4
435421,0,0,6,0
233587,0,1,-1,4
257705,0,0,6,1
112550,0,0,6,0
101275,0,0,6,0
449934,0,0,6,1
408059,0,0,6,2
332900,0,0,6,1
153972,0,0,6,0
244663,0,0,6,2
216426,0,1,-1,4
384717,0,1,-1,3
204006,0,0,6,0
445773,1,0,6,1
146762,0,0,6,0
393350,0,0,6,1
349594,0,0,6,2
122169,1,0,-1,0
125532,0,0,6,1
401356,0,1,-1,4
399348,0,0,6,1
427538,1,0,2,4
185406,0,1,-1,3
100814,0,0,-1,2
286289,0,1,-1,3
387719,0,0,6,2
281808,0,0,6,1
144804,0,0,6,0
140500,0,0,-1,2
283758,0,0,-1,4
316779,0,0,6,1
364370,0,0,6,1
180959,0,0,6,1
289630,0,1,-1,2
263966,0,0,6,2
129219,0,0,6,1
123350,0,1,-1,3
428993,0,1,6,2
262513,0,0,6,1
307966,1,0,-1,0
264555,0,1,1,4
385968,0,0,6,0
199571,0,0,6,0
434213,0,0,6,1
138833,0,0,6,1
178106,0,0,6,0
390810,0,1,-1,3
186607,0,0,-1,4
282684,0,1,-1,3
269883,0,1,-1,3
400929,0,0,6,1
323809,0,1,6,2
406059,0,0,6,2
122053,0,0,6,1
371189,0,1,-1,2
439860,0,0,6,0
213479,0,0,6,2
296441,1,0,6,1
212184,0,0,6,1
439664,0,0,6,1
334688,0,0,-1,4
200400,0,1,-1,2
302307,1,0,6,1
352066,0,0,-1,2
433909,0,0,6,0
440656,0,0,6,1
335488,0,0,6,0
408167,0,0,6,1
386002,0,0,6,0
436505,0,1,-1,3
425795,0,0,6,1
139120,0,0,6,1
423069,0,0,6,1
346264,0,1,6,2
269025,0,1,-1,3
369925,0,1,-1,3
129458,0,0,6,0
202021,0,0,-1,4
393742,0,1,-1,3
209424,0,0,6,0
207588,0,0,6,1
132679,0,0,6,0
371783,0,0,6,0
311426,0,0,6,0
367443,0,1,-1,3
385275,0,0,6,2
219832,0,1,-1,3
365249,1,0,6,2
285062,0,0,-1,1
110314,0,0,6,2
124332,0,0,6,1
438070,0,1,-1,3
252874,0,0,6,1
445684,0,0,6,1
120070,1,0,6,2
362145,0,0,6,0
187815,0,1,-1,3
375785,0,0,-1,1
446870,0,1,-1,3
289134,0,1,-1,3
442838,0,1,-1,4
302210,0,0,6,0
211182,0,0,6,1
251746,0,0,6,1
410489,0,0,6,1
338031,0,0,6,2
232165,0,0,-1,0
197143,0,0,6,0
191587,0,0,6,0
145960,0,0,6,1
331698,0,1,6,2
113818,0,0,6,0
193783,0,0,6,0
119824,0,0,-1,1
356527,0,0,6,1
245195,0,0,6,1
318742,0,1,1,4
170539,0,0,6,0
407502,0,0,-1,2
358024,0,1,6,2
272024,0,0,6,0
316505,0,0,6,2
205703,0,0,6,1
162482,0,0,6,0
203724,0,0,6,2
330897,0,0,6,1
274154,0,0,6,1
172201,0,0,6,2
256981,0,0,6,2
424308,0,0,-1,2
361765,0,0,6,1
389311,0,0,6,1
297820,0,0,6,1
252896,1,1,-1,2
195764,0,0,6,1
149082,0,0,6,1
418274,0,0,-1,2
131545,0,0,6,1
258932,0,0,6,1
207300,1,0,6,1
414196,0,1,-1,3
245943,0,1,6,2
383083,0,0,6,2
376938,0,0,6,1
340972,0,0,6,1
393254,0,1,-1,2
270869,0,1,-1,4
104759,0,0,6,1
173524,0,0,6,2
201040,0,0,6,1
409290,0,0,6,1
290477,0,1,6,2
144820,0,1,6,2
227947,0,1,-1,2
223358,0,0,6,1
208291,0,0,6,1
238740,1,0,6,0
402115,0,0,6,1
100588,0,0,6,0
316253,0,1,-1,3
236493,0,0,6,1
413028,0,0,6,1
401543,0,1,-1,2
120279,0,1,-1,3
291774,0,1,-1,3
300329,1,0,-1,1
433671,0,0,6,1
407762,0,0,6,1
176761,0,0,6,1
218706,0,1,-1,3
401685,0,0,6,0
154107,0,0,6,1
222739,0,0,6,1
149211,0,0,6,2
113053,0,0,6,2
434631,0,0,6,2
133748,0,1,-1,3
382934,0,1,-1,3
344319,0,0,6,1
213699,0,0,6,1
248290,0,0,6,0
399970,0,1,-1,2
152695,0,1,6,2
226558,0,1,6,2
268126,0,1,-1,2
267812,0,0,6,1
296395,0,0,6,1
113440,0,0,6,0
120792,0,1,-1,2
303184,0,1,6,2
316720,0,1,6,2
401043,0,0,6,0
100428,0,0,6,1
112929,0,0,6,0
181973,0,0,6,1
265063,0,0,6,0
127373,0,0,6,1
135623,0,0,6,1
285178,0,0,6,2
365219,0,1,-1,2
143816,0,1,-1,2
354450,0,0,6,0
151682,0,1,-1,3
239508,0,1,-1,3
332913,0,1,6,2
179504,0,0,6,1
406316,1,0,6,1
169861,1,0,6,1
216210,0,1,6,2
203373,0,1,-1,4
384141,0,0,6,0
310133,1,0,6,0
452541,0,1,-1,2
245487,0,1,-1,2
380424,0,1,-1,2
153686,0,0,6,1
451922,0,1,-1,3
115516,0,0,6,2
254734,0,0,-1,2
309050,0,1,6,2
366216,0,1,-1,2
435450,0,0,6,0
267092,0,1,6,2
300434,0,0,6,0
117544,0,0,6,1
100020,0,0,6,0
182888,0,0,-1,4
318289,0,0,6,0
338596,0,1,6,2
224763,0,0,6,0
207325,0,0,6,1
162017,0,1,-1,4
287507,0,0,6,0
339287,0,1,-1,3
190529,0,0,6,1
102661,0,0,6,1
186367,0,0,6,2
376697,0,1,-1,2
199223,0,0,6,0
344261,0,1,-1,2
197267,0,0,6,2
322807,0,0,6,0
372390,0,0,6,2
259065,0,0,6,1
363484,0,0,6,1
345584,0,0,6,1
344668,0,0,6,1
454379,0,0,6,0
432902,0,0,6,0
315187,0,1,-1,3
392675,0,1,6,2
324150,0,1,-1,3
195286,0,0,6,1
403078,0,0,6,2
374104,0,1,6,2
150089,0,1,-1,3
263512,0,0,-1,2
226546,0,0,6,0
283777,0,0,6,0
410008,0,0,6,1
450594,0,0,-1,2
171323,0,0,6,0
266859,0,1,-1,3
335428,0,0,6,0
209702,1,0,6,0
412620,0,0,6,1
437581,0,0,6,0
166381,0,0,6,2
415299,0,0,6,2
427094,0,0,6,2
445481,0,1,6,2
343048,0,0,6,1
391727,0,0,6,1
103849,0,1,6,2
339860,0,0,6,0
328487,0,1,-1,4
259630,0,0,6,0
354788,0,1,-1,3
448668,0,0,6,0
395782,1,1,-1,3
111140,0,0,6,1
268362,0,0,6,1
346751,0,0,-1,4
328214,0,1,-1,2
244480,0,0,-1,2
131308,0,0,6,0
263136,0,0,-1,4
451141,0,1,6,2
192582,0,1,-1,2
240785,0,0,6,1
338779,0,0,6,2
391250,0,0,6,1
289738,1,0,6,0
103978,0,0,6,1
281257,0,1,-1,3
367757,0,1,6,2
288504,0,1,-1,2
396850,0,0,6,1
386862,1,0,6,2
449301,0,0,6,0
441218,0,0,6,0
318955,0,0,6,1
193688,0,0,6,2
152444,0,0,6,0
340101,0,0,-1,2
137985,0,0,6,0
129450,0,0,-1,1
208936,0,0,6,1
361483,0,0,6,0
355535,0,0,-1,4
301221,0,0,-1,1
411968,0,0,6,1
139275,1,0,6,1
183018,0,0,-1,2
421222,0,0,-1,2
221923,0,0,6,1
312537,0,0,-1,2
310798,1,0,6,1
387205,1,0,6,1
296099,0,1,-1,3
417649,0,0,6,1
153239,1,0,6,2
407607,0,0,6,1
259506,0,0,6,0
289534,0,1,-1,3
309709,0,0,6,0
270190,0,1,-1,3
320756,0,0,6,1
143366,0,1,-1,3
279207,0,0,-1,1
122157,0,0,-1,4
242993,0,1,4,3
147417,0,1,5,3
368020,1,1,6,2
100981,0,0,6,1
224308,0,0,6,2
363780,0,1,-1,3
363774,1,0,6,1
165162,0,0,6,1
289893,0,0,6,0
150091,0,0,-1,1
342736,0,0,6,2
291235,0,0,6,1
426361,0,0,-1,1
149521,0,0,6,2
350113,0,0,6,1
218068,0,1,-1,2
146602,0,0,6,2
365930,0,1,-1,3
292689,0,0,6,2
377102,0,0,6,1
252839,0,1,-1,3
154776,0,0,6,1
386859,1,0,6,2
233157,0,1,-1,3
167261,0,0,6,1
255443,0,0,6,2
258749,0,0,-1,2
415396,0,1,6,2
120749,0,0,-1,4
441469,0,0,6,0
168755,0,0,-1,1
149905,0,0,6,1
212084,0,1,-1,3
185395,0,1,-1,3
169180,0,0,6,1
382481,0,0,6,1
449860,0,0,-1,1
308843,1,1,-1,3
421527,0,0,6,0
199033,0,0,6,0
416373,0,0,6,1
438161,0,1,-1,4
248277,0,1,1,4
227667,0,0,6,1
372487,0,0,6,0
226142,0,0,6,2
214538,0,1,-1,3
285790,0,0,6,1
189354,0,0,6,1
168185,0,0,6,2
114470,0,1,-1,3
267593,0,0,6,0
175502,0,0,6,1
213541,0,1,-1,3
152490,0,0,6,1
404681,0,0,6,1
280734,0,0,6,1
174235,0,0,-1,4
384345,0,0,6,1
200774,0,0,6,1
187152,0,0,6,1
379431,0,0,6,2
341999,0,1,-1,3
188728,0,1,-1,2
230081,0,0,6,1
310319,0,0,6,0
225989,0,1,-1,2
384518,0,0,6,1
235670,0,0,6,2
394407,0,1,-1,2
377986,1,0,6,1
203333,0,1,-1,2
205350,0,0,6,1
154278,0,1,6,2
355334,1,0,6,0
397757,0,0,6,1
200809,0,1,-1,3
271481,0,1,-1,2
406442,0,0,6,0
260263,0,0,6,0
223000,0,0,6,1
165357,0,0,6,2
386519,0,0,6,0
392553,0,0,6,0
324574,0,0,6,1
356736,0,0,-1,4
217203,0,1,-1,2
286701,0,0,6,1
144306,0,0,6,0
422505,0,1,-1,3
281842,0,0,6,0
319350,0,0,6,0
109627,0,0,6,0
326718,0,1,-1,3
444035,0,0,-1,1
111089,0,1,-1,3
405835,0,1,-1,3
382575,0,0,6,0
238622,0,0,-1,1
163791,1,0,6,1
146294,0,0,-1,2
313033,0,1,-1,2
161348,0,1,-1,3
306088,1,1,-1,2
271968,0,0,6,1
293633,0,1,-1,3
436800,0,1,6,2
121818,0,0,6,1
442930,0,0,6,2
196629,0,0,6,1
384340,0,0,6,1
364935,1,0,6,1
359510,0,1,-1,3
339147,0,0,6,2
195465,0,0,6,1
148589,0,0,6,0
115593,1,0,6,1
186692,0,0,6,2
277781,0,0,6,0
231248,0,0,6,1
276933,0,1,-1,2
334683,1,0,6,1
274119,0,0,6,1
127186,0,0,6,1
108293,0,0,6,1
145672,1,1,-1,2
184346,0,0,6,0
285759,0,0,6,2
202533,0,0,6,0
107110,1,0,6,0
245299,0,1,-1,2
452729,0,0,-1,1
379400,0,1,6,2
385548,0,1,-1,3
427648,0,0,6,1
159136,0,0,6,1
369013,0,0,6,2
385807,0,0,6,0
414946,0,0,6,1
365179,0,1,-1,3
348432,0,1,-1,3
114436,0,0,6,1
377999,0,0,-1,2
445630,0,1,6,2
256420,0,0,6,0
277230,1,1,-1,3
126851,0,0,-1,4
220533,0,0,6,1
368028,0,0,6,0
436011,0,0,6,0
365507,0,1,6,2
410412,0,1,-1,3
430883,0,1,6,2
396848,0,0,6,1
328008,0,0,-1,2
106448,0,1,6,2
374094,0,1,-1,3
353644,0,0,6,1
348309,0,0,6,1
188761,0,1,6,2
213200,1,0,6,0
187232,0,0,6,1
256468,1,1,-1,3
101480,0,0,6,1
167803,0,0,6,2
108531,0,0,-1,2
307502,0,0,6,0
199802,0,0,6,1
316691,0,1,6,2
204650,0,0,6,1
353066,0,0,6,2
257633,0,1,-1,3
348684,0,1,-1,2
409998,0,0,6,1
243808,0,0,6,1
384733,0,0,6,1
366770,0,0,6,2
396743,0,1,6,2
268956,0,0,6,1
217854,0,0,6,1
144302,1,1,-1,3
383822,0,0,6,0
312360,0,0,6,0
118534,0,1,6,2
340950,0,0,6,0
292716,0,1,6,2
231218,0,0,6,2
150355,0,1,-1,3
393758,0,0,6,0
418303,0,0,6,1
114623,0,0,6,2
193553,0,1,6,2
301928,1,0,6,0
433507,0,1,-1,3
315743,0,0,6,1
240003,0,0,-1,2
278989,0,0,6,2
208283,0,1,-1,3
285926,0,0,6,1
100994,0,0,6,1
316663,0,0,6,0
168853,0,0,6,2
109904,0,0,6,0
125421,0,1,-1,3
269353,1,0,6,1
441149,0,1,6,2
231010,0,1,-1,2
383281,0,1,-1,2
422418,0,0,6,2
291962,0,1,6,2
194238,0,0,-1,0
225485,0,0,6,1
218208,0,0,6,0
215274,0,0,6,0
334181,0,0,-1,2
344151,1,0,6,1
359096,0,0,-1,4
354926,0,0,-1,2
416764,0,0,-1,4
345617,0,0,6,0
332653,0,0,-1,4
219299,0,0,6,1
259980,0,0,6,2
304261,0,0,6,2
304735,0,1,-1,3
214550,0,0,6,0
412029,0,0,6,1
253152,0,0,6,0
349809,0,0,6,1
277931,0,1,-1,2
139906,0,1,2,4
450128,0,0,6,1
284610,1,1,-1,2
342506,0,0,6,1
304068,0,0,-1,4
158396,0,0,6,0
443323,0,0,-1,2
140012,0,0,6,1
285216,0,0,-1,2
379234,1,0,6,0
223420,0,1,-1,3
252090,1,1,-1,3
163443,0,0,6,1
374947,0,0,-1,0
396679,0,0,6,2
346512,0,0,-1,2
118250,1,0,6,1
261638,0,0,6,1
446493,0,0,6,2
220441,1,1,-1,3
264326,0,0,6,1
219660,1,1,-1,4
237568,0,0,6,2
277383,1,0,6,1
219281,0,1,-1,2
177140,0,1,-1,2
234347,0,0,6,1
150096,0,0,-1,2
191718,0,0,6,1
141459,1,1,-1,3
454633,0,0,6,1
310152,1,0,6,1
294294,0,0,6,1
330462,0,0,6,2
231599,0,0,6,1
319074,0,1,-1,3
165809,1,1,-1,2
151397,0,0,-1,1
295357,0,0,6,2
100536,0,1,-1,3
343616,0,1,-1,3
305057,0,1,-1,3
303885,0,1,-1,2
377718,0,0,6,1
242911,0,0,6,0
283633,0,0,6,0
251757,0,0,6,0
263734,0,0,6,1
428216,1,1,-1,3
184449,1,0,6,0
218045,0,0,6,1
154204,0,0,6,0
382982,0,0,-1,4
155617,0,0,6,1
364107,0,0,6,1
434184,0,0,6,1
158125,0,0,6,0
305627,0,0,6,1
224782,0,0,6,1
297512,0,0,-1,4
239511,0,0,6,0
129996,1,1,-1,3
248280,0,0,6,0
155745,0,0,6,1
204004,0,1,-1,3
338763,0,0,6,1
348160,0,0,-1,1
334022,0,0,6,1
325393,0,0,6,0
378490,0,0,6,1
355100,0,1,-1,4
409395,0,0,6,1
124527,0,0,6,1
406876,0,0,6,1
268873,0,1,-1,3
242505,0,1,-1,2
210421,0,0,6,1
313452,1,0,6,1
310999,0,0,6,0
222478,0,1,-1,3
320536,0,0,6,0
147512,0,0,6,1
422449,0,0,6,2
275636,0,0,6,1
172502,0,1,6,2
394035,0,0,6,1
284372,0,0,6,0
437032,0,0,6,1
352488,0,0,6,1
436030,0,0,-1,2
405601,0,1,-1,3
340010,0,1,6,2
418026,0,0,6,0
371558,0,0,6,1
182392,0,0,-1,2
419607,0,1,-1,3
287956,0,0,6,0
198213,0,0,6,1
168183,0,1,-1,2
255005,0,1,-1,3
150992,0,0,6,1
293454,0,1,-1,2
210826,0,0,6,2
222731,0,0,6,0
257230,1,1,-1,3
240590,0,0,6,0
132991,0,0,6,0
310609,0,0,-1,1
359991,0,0,6,1
192927,0,1,-1,3
113172,0,1,-1,3
290823,0,0,6,1
269308,0,1,-1,2
253960,0,0,6,1
241500,0,0,6,1
338722,0,0,6,1
290922,0,0,6,1
323932,0,0,-1,2
429738,0,0,6,1
353568,0,0,-1,2
418755,0,0,6,2
331210,0,1,-1,3
207420,0,0,6,0
189315,0,1,-1,4
254583,0,0,6,0
342763,1,0,6,0
311922,0,0,6,1
355625,0,1,-1,2
169177,0,1,-1,2
229296,0,0,6,1
361542,0,0,6,0
269903,0,0,6,0
408328,0,0,6,1
222343,1,1,-1,2
210586,1,0,6,1
297528,0,1,6,2
437700,0,0,6,0
188125,0,0,6,0
193863,0,1,-1,3
290002,0,0,6,1
204781,0,0,6,0
108638,0,0,-1,0
258667,0,0,-1,4
346229,0,0,6,1
316684,0,0,-1,0
125825,0,1,6,2
159987,0,1,6,2
258543,0,1,-1,4
241852,0,1,-1,2
259199,0,1,6,2
170195,0,1,-1,3
191895,0,0,6,0
269919,0,0,6,0
336563,0,0,6,2
292615,0,1,-1,3
204527,0,1,-1,3
404422,0,0,6,1
260304,0,1,-1,4
353622,0,1,-1,4
253512,0,0,6,0
187421,0,0,6,0
278068,0,0,6,1
121229,0,0,-1,4
260823,0,1,-1,2
215312,0,0,6,0
430380,0,0,6,1
349294,0,1,-1,3
431178,0,0,6,2
290866,0,1,-1,3
321304,0,0,6,1
298140,0,0,6,1
295428,0,0,6,0
330569,0,0,-1,2
332060,0,1,6,2
216422,0,0,6,0
270715,1,0,6,0
435218,0,0,6,0
261211,0,1,-1,3
436619,0,1,6,2
241411,0,1,-1,3
233442,1,0,6,1
203844,0,1,6,2
168429,0,1,6,2
117290,0,0,6,0
276129,0,0,6,1
400641,0,0,6,1
360951,0,0,-1,1
406815,0,0,6,0
344378,0,0,6,1
298386,0,1,6,2
383567,0,1,-1,2
175663,0,1,-1,2
395562,0,0,6,0
141008,0,0,6,1
250926,0,1,-1,3
